time_point,pitch_names
0.020000000,"[""C4""]"
0.040000000,"[""B3"", ""C4""]"
0.060000000,"[""B3"", ""C4""]"
0.080000000,"[""B3"", ""C4""]"
0.100000000,"[""B3"", ""C4"", ""C#4""]"
0.120000000,"[""B3"", ""C4"", ""C#4""]"
0.140000000,"[""C4""]"
0.160000000,"[""C4""]"
0.180000000,"[""C4""]"
0.200000000,"[""C4""]"
0.220000000,"[""C4""]"
0.260000000,"[""F4""]"
0.280000000,"[""E4"", ""F4""]"
0.300000000,"[""E4"", ""F4"", ""F#4""]"
0.320000000,"[""E4"", ""F4"", ""F#4""]"
0.340000000,"[""E4"", ""F4"", ""F#4""]"
0.360000000,"[""E4"", ""F4"", ""F#4""]"
0.380000000,"[""E4"", ""F4"", ""F#4""]"
0.400000000,"[""E4"", ""F4"", ""F#4""]"
0.420000000,"[""E4"", ""F4""]"
0.440000000,"[""E4"", ""F4""]"
0.460000000,"[""F4""]"
0.480000000,"[""F4""]"
0.520000000,"[""G#4""]"
0.540000000,"[""G4"", ""G#4"", ""A4""]"
0.560000000,"[""G4"", ""G#4"", ""A4""]"
0.580000000,"[""G4"", ""G#4"", ""A4""]"
0.600000000,"[""G4"", ""G#4"", ""A4""]"
0.620000000,"[""G4"", ""G#4"", ""A4""]"
0.640000000,"[""G4"", ""G#4"", ""A4""]"
0.660000000,"[""G4"", ""G#4"", ""A4""]"
0.680000000,"[""G#4"", ""A4""]"
0.700000000,"[""G#4"", ""A4""]"
0.720000000,"[""G#4"", ""A4""]"
0.740000000,"[""G#4"", ""A4""]"
0.780000000,"[""B4"", ""C5""]"
0.800000000,"[""B4"", ""C5"", ""C#5""]"
0.820000000,"[""B4"", ""C5"", ""C#5""]"
0.840000000,"[""B4"", ""C5"", ""C#5""]"
0.860000000,"[""B4"", ""C5"", ""C#5""]"
0.880000000,"[""B4"", ""C5"", ""C#5""]"
0.900000000,"[""B4"", ""C5"", ""C#5""]"
0.920000000,"[""B4"", ""C5"", ""C#5""]"
0.940000000,"[""B4"", ""C5""]"
0.960000000,"[""B4"", ""C5""]"
0.980000000,"[""B4"", ""C5""]"
1.000000000,"[""B4"", ""C5""]"
1.020000000,"[""C5""]"
