time_point,pitch_names
1.120000000,"[""F4""]"
1.140000000,"[""F4""]"
1.160000000,"[""F4""]"
1.180000000,"[""F4""]"
1.620000000,"[""B4"", ""C5"", ""C#5""]"
1.640000000,"[""B4"", ""C5"", ""C#5""]"
1.660000000,"[""B4"", ""C5"", ""C#5""]"
1.680000000,"[""B4"", ""C5""]"
1.700000000,"[""B4"", ""C5""]"
1.860000000,"[""E5"", ""F5""]"
1.880000000,"[""E5"", ""F5""]"
1.900000000,"[""E5"", ""F5""]"
1.920000000,"[""E5"", ""F5""]"
2.100000000,"[""G5"", ""A5""]"
2.120000000,"[""G5"", ""G#5"", ""A5""]"
2.140000000,"[""G5"", ""G#5"", ""A5""]"
2.160000000,"[""G5"", ""G#5"", ""A5""]"
2.180000000,"[""G5"", ""G#5"", ""A5""]"
2.200000000,"[""G5"", ""G#5"", ""A5""]"
2.220000000,"[""G5"", ""G#5"", ""A5""]"
2.240000000,"[""G5"", ""G#5"", ""A5""]"
2.260000000,"[""G5"", ""G#5"", ""A5""]"
2.280000000,"[""G5"", ""G#5"", ""A5""]"
2.300000000,"[""G5"", ""G#5"", ""A5""]"
2.320000000,"[""G5"", ""G#5"", ""A5""]"
2.340000000,"[""G5"", ""G#5""]"
2.360000000,"[""F3"", ""G#5""]"
2.380000000,"[""F3"", ""G#5""]"
2.400000000,"[""E2"", ""F3"", ""F#3"", ""G#5""]"
2.420000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
2.440000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
2.460000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
2.480000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
2.500000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5"", ""A5""]"
2.520000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5""]"
2.540000000,"[""E2"", ""F3"", ""F#3"", ""G5"", ""G#5""]"
2.560000000,"[""E2"", ""F3"", ""G5"", ""G#5""]"
2.580000000,"[""F3"", ""G#5""]"
2.600000000,"[""F3"", ""E5"", ""F5""]"
2.620000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.640000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.660000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.680000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.700000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.720000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.740000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.760000000,"[""E2"", ""F3"", ""E5"", ""F5"", ""F#5""]"
2.780000000,"[""E2"", ""F3"", ""E5"", ""F5"", ""F#5""]"
2.800000000,"[""F3"", ""E5"", ""F5"", ""F#5""]"
2.820000000,"[""F3"", ""E5"", ""F5""]"
